"","act","mod","e1","e2","e3","expert.1","expert.2","expert.3","docket","casename","certdate","argudate","ctbelow","constat","subjmatt","numexper","courtact","issue","value","dir","vote","constit","statut","comlaw","criminal","courtmod","har_value","har_dir","ali_issue","ali_value","just","exp.tot"
"1",1,1,0,0,0,277,976,530,"""00-1471""","""KY Assn. of Health Plans v. Miller""","2002-06-28","2003-01-14","""USCA-6""",NA,NA,3,1,911,10,0,90,0,1,0,0,1,10,0,621,8,1,0
"4",0,1,1,1,0,635,255,102,"""01-0188""","""Pharmaceutical Research v. Concannon""","2002-06-28","2003-01-22","""USCA-1""",NA,NA,3,1,NA,10,1,NA,1,1,0,0,1,8,1,631,8,1,0.666666666666667
"7",0,0,0,1,0,104,635,465,"""01-0270""","""Yellow Transportation v. Michigan""","2002-01-22","2002-10-07","""SC-MI""",NA,NA,3,0,631,8,0,90,0,1,0,0,0,8,0,673,8,1,0.333333333333333
"10",1,0,1,1,0,289,399,963,"""01-0593""","""Dole Food Co. v. Patrickson & 01-594 Dead Sea Co. v. Patrick""","2002-06-28","2003-01-22","""USCA-9""",NA,NA,3,1,NA,9,NA,NA,0,1,0,0,0,9,0,808,9,1,0.666666666666667
"13",1,1,1,1,NA,23,94,NA,"""01-0618""","""Eldred v. Ashcroft, Atty. General""","2002-02-19","2002-10-09","""USCA-DC""",NA,NA,2,1,662,8,0,72,1,0,0,0,1,8,0,662,8,1,0
"16",1,1,0,0,0,510,564,995,"""01-0653""","""FCC v. Nextwave Comm., Inc. and 1-657 Arctic Slope v. Nextwv""","2002-03-04","2002-10-08","""USCA-DC""",NA,NA,3,1,611,8,1,81,0,1,0,0,1,8,1,686,8,1,0
"19",0,0,0,0,NA,127,213,NA,"""01-0704""","""U.S. v. Bean""","2002-01-22","2002-10-16","""USCA-5""",NA,NA,2,0,721,9,0,90,0,1,0,0,0,9,0,851,9,1,0
"22",0,0,1,0,0,882,533,919,"""01-0705""","""Barnhart v. Comm'r. v. Peabody & 1-715 Holland v Bellaire""","2002-01-22","2002-10-08","""USCA-6""",NA,NA,3,0,312,2,1,63,0,1,0,0,0,2,1,312,2,1,0.333333333333333
"25",0,0,0,1,0,104,225,539,"""01-0706""","""Sprietsma v. Mercury Marine""","2002-01-22","2002-10-15","""SC-IL""",NA,NA,3,0,910,10,0,90,0,1,0,0,1,10,0,911,10,1,0.333333333333333
"28",0,0,0,0,0,636,255,616,"""01-0729""","""Smith v. Doe (aka Godfrey/Otte v. Doe)""","2002-02-19","2002-11-13","""USCA-9""",NA,NA,3,0,80,1,0,63,1,0,0,0,0,1,0,80,1,1,0
"31",1,1,1,1,1,973,895,963,"""01-0757""","""Syngenta Crop. Protection Inc. v. Henson""","2002-02-19","2002-10-15","""USCA-11""",NA,NA,3,1,852,9,0,90,0,1,0,0,0,9,0,851,9,1,1
"34",0,0,0,1,0,223,110,611,"""01-0800""","""Howsam v. Dean Witter Reynolds, Inc.""","2002-02-25","2002-10-09","""USCA-10""",NA,NA,3,0,653,8,0,80,0,0,1,0,0,8,0,851,9,1,0.333333333333333
"37",0,1,0,1,NA,533,635,NA,"""01-0950""","""Hillside Dairy v. Lyons & 01-1018, Ponderosa Dairy v. Lyons""","2003-01-10","2003-04-22","""USCA-9""",NA,NA,2,0,NA,10,0,NA,1,1,0,0,0,8,1,930,10,1,0
"40",0,0,0,0,NA,225,518,NA,"""01-0963""","""Norfolk & Western Rwy. Co. v. Ayers""","2002-04-01","2002-11-06","""WVCC, Kanawha Cty.""",NA,NA,2,1,615,8,1,54,0,1,1,0,0,8,1,618,8,1,0
"43",0,0,1,1,1,289,853,150,"""01-1015""","""Moseley v. V Secret Catalogue, Inc.""","2002-04-15","2002-11-12","""USCA-6""",NA,NA,3,0,663,8,1,90,0,1,0,0,0,8,1,663,8,1,1
"46",0,0,0,0,0,103,818,81,"""01-1067""","""U.S. v. White Mountain Apache Tribe""","2002-04-22","2002-12-02","""USCA-Fed""",NA,NA,3,1,293,2,1,54,0,1,0,0,0,2,1,293,2,1,0
"49",1,1,1,1,NA,976,375,NA,"""01-10873""","""Nguyen v. US & 02-5034 Phan v. US""","2002-11-04","2003-03-24","""USCA-9""",NA,NA,2,0,NA,9,0,NA,0,1,0,1,0,9,1,717,9,1,0
"52",0,0,1,0,NA,333,375,NA,"""01-1118""","""Scheidler v. NOW & 1-1119 Operation Rescue v NOW""","2002-04-22","2002-12-04","""USCA-7""",NA,NA,2,0,533,5,0,81,0,1,0,0,0,5,0,171,1,1,0
