"","dv","year","septpoll","gdpqtr2half","julypop","incxgnp","jobhousu","closeinc","l1cumleigrowth","incumbentpoll","G","P","Z","adper","adur","war","I","fatalities","wtq16","dnlr","dnlr.L1","dnlr.L2","dnlr.L3","dnlr.L4","dnlr.L5","dnlr.L6","dnlr.L7","dnlr.L8","dnlr.L9","dnlr.L10","dnlr.L11","dnlr.L12","dnlr.L13","dnlr.L14","q2gdp","term","juneapp"
"1916",51.682,1916,NA,NA,NA,NA,NA,NA,NA,NA,2.229,4.252,3,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1920",36.148,1920,NA,NA,NA,NA,NA,NA,NA,NA,-11.463,0,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1924",58.263,1924,NA,NA,NA,NA,NA,NA,NA,NA,-3.872,5.161,10,1,0,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1928",58.756,1928,NA,NA,NA,NA,NA,NA,NA,NA,4.623,0.183,7,0,1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1932",40.851,1932,NA,NA,NA,NA,NA,NA,NA,NA,-14.586,7.164,4,1,1.25,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1936",62.226,1936,NA,NA,NA,NA,NA,NA,NA,NA,11.836,2.475,9,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1940",54.983,1940,NA,NA,NA,NA,NA,NA,NA,NA,3.901,0.081,8,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1944",53.778,1944,NA,NA,NA,NA,NA,NA,NA,NA,4.233,0,0,1,1.25,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1948",52.31746284,1948,45.61,3.874207297,39,2.42,NA,1,NA,NA,3.638,0,0,1,1.5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6,1,-8
"1952",44.59477304,1952,42.11,-1.210271403,32,0,7.97,0,0.149489000439644,34.2494583129883,0.726,2.349,7,0,1.75,0,1,190.415267944336,0.333333343267441,6.40537709132474,5.83209139969938,2.35692542237658,-1.78083991551006,-1.62803356889825,1.27296665673455,3.95212314306406,-4.60056687680179,0.768162449308107,5.52788316384181,-4.81220906581825,27.4107437666828,1.90139255933133,1.47219687861195,-2.36786649717615,0.4,1,-26
